,pos_img_name,bin_start,bin_ends
0,pos_img_0_0.png,1519939777.7393074,1519939777.7479208
1,pos_img_0_1.png,1519939777.7479208,1519939777.756534
2,pos_img_0_2.png,1519939777.756534,1519939777.7651477
3,pos_img_0_3.png,1519939777.7651477,1519939777.773761
4,pos_img_0_4.png,1519939777.773761,1519939777.7823744
5,pos_img_1_0.png,1519939777.7823744,1519939777.7909877
6,pos_img_1_1.png,1519939777.7909877,1519939777.799601
7,pos_img_1_2.png,1519939777.799601,1519939777.8082147
8,pos_img_1_3.png,1519939777.8082147,1519939777.816828
9,pos_img_1_4.png,1519939777.816828,1519939777.8254414
10,pos_img_2_0.png,1519939777.8254414,1519939777.834055
11,pos_img_2_1.png,1519939777.834055,1519939777.8426685
12,pos_img_2_2.png,1519939777.8426685,1519939777.8512821
13,pos_img_2_3.png,1519939777.8512821,1519939777.8598957
14,pos_img_2_4.png,1519939777.8598957,1519939777.8685093
15,pos_img_3_0.png,1519939777.8685093,1519939777.8771226
16,pos_img_3_1.png,1519939777.8771226,1519939777.885736
17,pos_img_3_2.png,1519939777.885736,1519939777.8943496
18,pos_img_3_3.png,1519939777.8943496,1519939777.902963
19,pos_img_3_4.png,1519939777.902963,1519939777.9115763
20,pos_img_4_0.png,1519939777.9115763,1519939777.9201896
21,pos_img_4_1.png,1519939777.9201896,1519939777.928803
22,pos_img_4_2.png,1519939777.928803,1519939777.9374166
23,pos_img_4_3.png,1519939777.9374166,1519939777.94603
24,pos_img_4_4.png,1519939777.94603,1519939777.9546432
25,pos_img_5_0.png,1519939777.9546432,1519939777.9632566
26,pos_img_5_1.png,1519939777.9632566,1519939777.97187
27,pos_img_5_2.png,1519939777.97187,1519939777.9804835
28,pos_img_5_3.png,1519939777.9804835,1519939777.9890969
29,pos_img_5_4.png,1519939777.9890969,1519939777.9977102
30,pos_img_6_0.png,1519939777.9977102,1519939778.0063236
31,pos_img_6_1.png,1519939778.0063236,1519939778.0149372
32,pos_img_6_2.png,1519939778.0149372,1519939778.0235505
33,pos_img_6_3.png,1519939778.0235505,1519939778.032164
34,pos_img_6_4.png,1519939778.032164,1519939778.0407774
35,pos_img_7_0.png,1519939778.0407774,1519939778.049391
36,pos_img_7_1.png,1519939778.049391,1519939778.0580046
37,pos_img_7_2.png,1519939778.0580046,1519939778.0666182
38,pos_img_7_3.png,1519939778.0666182,1519939778.0752318
39,pos_img_7_4.png,1519939778.0752318,1519939778.0838454
40,pos_img_8_0.png,1519939778.0838454,1519939778.0924587
41,pos_img_8_1.png,1519939778.0924587,1519939778.101072
42,pos_img_8_2.png,1519939778.101072,1519939778.1096857
43,pos_img_8_3.png,1519939778.1096857,1519939778.118299
44,pos_img_8_4.png,1519939778.118299,1519939778.1269124
45,pos_img_9_0.png,1519939778.1269124,1519939778.1355257
46,pos_img_9_1.png,1519939778.1355257,1519939778.144139
47,pos_img_9_2.png,1519939778.144139,1519939778.1527526
48,pos_img_9_3.png,1519939778.1527526,1519939778.161366
49,pos_img_9_4.png,1519939778.161366,1519939778.1699793
50,pos_img_10_0.png,1519939778.1699793,1519939778.1785927
51,pos_img_10_1.png,1519939778.1785927,1519939778.187206
52,pos_img_10_2.png,1519939778.187206,1519939778.1958196
53,pos_img_10_3.png,1519939778.1958196,1519939778.204433
54,pos_img_10_4.png,1519939778.204433,1519939778.2130463
55,pos_img_11_0.png,1519939778.2130463,1519939778.22166
56,pos_img_11_1.png,1519939778.22166,1519939778.2302735
57,pos_img_11_2.png,1519939778.2302735,1519939778.238887
58,pos_img_11_3.png,1519939778.238887,1519939778.2475007
59,pos_img_11_4.png,1519939778.2475007,1519939778.2561142
60,pos_img_12_0.png,1519939778.2561142,1519939778.2647276
61,pos_img_12_1.png,1519939778.2647276,1519939778.2733412
62,pos_img_12_2.png,1519939778.2733412,1519939778.2819545
63,pos_img_12_3.png,1519939778.2819545,1519939778.290568
64,pos_img_12_4.png,1519939778.290568,1519939778.2991815
65,pos_img_13_0.png,1519939778.2991815,1519939778.3077948
66,pos_img_13_1.png,1519939778.3077948,1519939778.3164082
67,pos_img_13_2.png,1519939778.3164082,1519939778.3250217
68,pos_img_13_3.png,1519939778.3250217,1519939778.333635
69,pos_img_13_4.png,1519939778.333635,1519939778.3422484
70,pos_img_14_0.png,1519939778.3422484,1519939778.3508618
71,pos_img_14_1.png,1519939778.3508618,1519939778.3594751
72,pos_img_14_2.png,1519939778.3594751,1519939778.3680887
73,pos_img_14_3.png,1519939778.3680887,1519939778.376702
74,pos_img_14_4.png,1519939778.376702,1519939778.3853154
75,pos_img_15_0.png,1519939778.3853154,1519939778.393929
76,pos_img_15_1.png,1519939778.393929,1519939778.4025426
77,pos_img_15_2.png,1519939778.4025426,1519939778.4111562
78,pos_img_15_3.png,1519939778.4111562,1519939778.4197698
79,pos_img_15_4.png,1519939778.4197698,1519939778.4283834
80,pos_img_16_0.png,1519939778.4283834,1519939778.4369967
81,pos_img_16_1.png,1519939778.4369967,1519939778.44561
82,pos_img_16_2.png,1519939778.44561,1519939778.4542236
83,pos_img_16_3.png,1519939778.4542236,1519939778.462837
84,pos_img_16_4.png,1519939778.462837,1519939778.4714503
85,pos_img_17_0.png,1519939778.4714503,1519939778.4800637
86,pos_img_17_1.png,1519939778.4800637,1519939778.488677
87,pos_img_17_2.png,1519939778.488677,1519939778.4972906
88,pos_img_17_3.png,1519939778.4972906,1519939778.505904
89,pos_img_17_4.png,1519939778.505904,1519939778.5145173
90,pos_img_18_0.png,1519939778.5145173,1519939778.5231307
91,pos_img_18_1.png,1519939778.5231307,1519939778.531744
92,pos_img_18_2.png,1519939778.531744,1519939778.5403576
93,pos_img_18_3.png,1519939778.5403576,1519939778.548971
94,pos_img_18_4.png,1519939778.548971,1519939778.5575843
95,pos_img_19_0.png,1519939778.5575843,1519939778.5661979
96,pos_img_19_1.png,1519939778.5661979,1519939778.5748115
97,pos_img_19_2.png,1519939778.5748115,1519939778.5834253
98,pos_img_19_3.png,1519939778.5834253,1519939778.5920389
99,pos_img_19_4.png,1519939778.5920389,1519939778.6006525
100,pos_img_20_0.png,1519939778.6006525,1519939778.6092658
101,pos_img_20_1.png,1519939778.6092658,1519939778.6178792
102,pos_img_20_2.png,1519939778.6178792,1519939778.6264927
103,pos_img_20_3.png,1519939778.6264927,1519939778.635106
104,pos_img_20_4.png,1519939778.635106,1519939778.6437194
105,pos_img_21_0.png,1519939778.6437194,1519939778.6523328
106,pos_img_21_1.png,1519939778.6523328,1519939778.6609461
107,pos_img_21_2.png,1519939778.6609461,1519939778.6695597
108,pos_img_21_3.png,1519939778.6695597,1519939778.678173
109,pos_img_21_4.png,1519939778.678173,1519939778.6867864
